id,tier,name,description,requirements,talents.mandatory,talents.optional,options,reservedTalent.name,reservedTalent.description
dc8c3ce6-c2d4-4d2b-ba8f-27c8baf3799c,1,Animiste,"L’animiste est un adepte d’un culte spirituel voué à un élément naturel. Ces éléments peuvent concerner par exemple les animaux, la chasse et le climat, ou encore la nuit et la Lune. Ils peuvent également concerner les esprits des défunts et ancestraux, ou encore les croyances des peuples archaïques. L’animiste jongle avec les forces féériques ou ombrageuses qui régissent ces éléments naturels, et adoptent généralement une posture de devin et de guérisseur auprès d’un culte ou d’une communauté primitive.",Le personnage doit avoir sélectionné un domaine d’animisme lorsqu’il a acquis le talent <u>Spiritualité</u>.,782bbcce-7661-4e31-aced-eae9c212d0b0,"22bb0ed8-3941-4576-9897-b519b7746f5c,6a4e7150-fa82-4d0c-a308-70e68927a171,1f819e59-3ea2-426b-b668-5f45d821945d,21bf38b6-66be-4a76-a5b7-d14737b9a5ec,13a72de3-fb18-4787-b11f-00d41ea9a1a1,b591dbe1-8ab0-43a2-87d1-f70ee4c8c4ee,37a0cbd8-b7c0-47aa-8449-5b5f121970d3,7b2b3158-7ddb-4d3b-9751-5b1527723bbb,c0c7935a-bdba-4a87-8033-9efecb7d7c94",,Animisme,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir les pouvoirs de tiers 1 de son domaine d’animisme et apprend gratuitement un de ces pouvoirs.\n- Il acquiert une capacité de tiers 1 spécifique à son domaine d’animisme.\n- **Forme sauvage.** Le personnage prend la forme d’une bête qu’il a vue ou touchée auparavant par une action. Il peut effectuer cette transformation une fois par jour et doit compléter une nuit de sommeil afin de réutiliser cette capacité. Le niveau de la bête doit être inférieur ou égal à ½ et celle-ci ne doit pas pouvoir voler. Il peut rester dans cette forme pendant un nombre d’heures égal à son rang d’Occultisme (minimum 1). Après ce délai, il reprend sa forme normale. Il peut également reprendre sa forme normale par une action. Il reprend automatiquement sa forme normale s’il tombe inconscient, agonisant ou s’il meurt. Les règles suivantes s’appliquent lorsqu’il assume une forme sauvage.\n  - L’Agilité, la Coordination et la Vigueur du personnage sont remplacés par ces attributs de la bête. Il conserve le rang de ses compétences, mais si le rang de certaines compétences de la bête sont supérieurs aux siens, alors ceux-ci sont remplacés par ceux de la bête. Il ne peut utiliser les actions légendaires ni les résistances légendaires de la bête.\n  - Ses points de Vitalité sont remplacés par ceux de la bête. Lorsqu’il reprend sa forme normale, il récupère les points de Vitalité qu’il avait avant de prendre sa forme sauvage. Si ses points de Vitalité en forme sauvage chutent à une valeur inférieure à 0, alors l’excès de points de Vitalité perdus est transféré en points de dégâts aux points de Vitalité de sa forme normale.\n  - En forme sauvage, il ne peut canaliser de pouvoir, et son habileté à parler ou à effectuer une action requérant ses mains sont limitées à celle de la bête. Il ne perd pas sa concentration s’il était en train de canaliser un pouvoir lorsqu’il a pris sa forme sauvage, mais il ne peut réagir avec ce pouvoir sans reprendre sa forme normale. Il peut néanmoins utiliser ses capacités d’espèce ainsi que ses talents si la bête le permet.\n  - Il ne peut utiliser son équipement en forme sauvage. Il décide si son équipement tombe au sol à sa position, s’il fusionne avec sa forme sauvage, ou s’il est porté par la forme sauvage. L’équipement porté fonctionne comme sur forme normale, mais il ne change pas de taille afin de s’adapter à la forme sauvage. Il est donc possible qu’un équipement soit inutilisable et même gênant à la forme sauvage. L’équipement fusionné avec la forme sauvage n’a aucun effet tant que le personnage ne reprend pas sa forme normale."
a270b9b8-7da6-4692-b53f-852530c58604,1,Astromancien,"Les mages, appelés Astromanciens en raison de leur lien particulier avec les astres et les signes astrologiques, sont organisés en réseaux appartenant à une Tour de Magie. Chacun de ces réseaux remplit un objectif bien précis et conserve le secret à propos de ses opérations. De plus, les mages peuvent s’initier à un ou plusieurs cercles de magie afin d’acquérir des capacités propres à ces cercles.",N/A,d9bf4414-edf3-4588-ac12-0712a3cfd9e4,"6a4e7150-fa82-4d0c-a308-70e68927a171,d5536e41-a6fd-43cb-8e73-aa87355ca72d,1f819e59-3ea2-426b-b668-5f45d821945d,ad47e040-e7ab-4797-9daa-aea8dec648bc,13a72de3-fb18-4787-b11f-00d41ea9a1a1,5c61038f-6fb1-4b2f-b224-7965d196d88e,f3cf871b-6621-478e-b2af-de0d8faf9734,b591dbe1-8ab0-43a2-87d1-f70ee4c8c4ee,37a0cbd8-b7c0-47aa-8449-5b5f121970d3",,Astromancie,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir les pouvoirs de tiers 1 d’astromancie et apprend gratuitement un de ces pouvoirs.\n- S’il acquiert le talent <u>Initiation magique</u>, il acquiert gratuitement le talent <u>Méditation</u>.\n- **Ascendant.** Le nombre maximal de signes astrologiques qu’il peut apprendre augmente de 21 à 35, suivant la formule 2 + (2 × rang _Occultisme_) + modificateur Intellect. Également, le temps et les matériaux nécessaires à l’apprentissage d’un nouveau signe astrologique sont réduits de moitié. Ces éléments sont décrits en annexe à cet ouvrage."
8aa134f2-0419-498f-b817-b04efc515af1,1,Clerc,"Les clercs sont des adeptes religieux d’une divinité. Ils représentent celle-ci dans le monde matériel, faisant régner ses préceptes et tentant d’agrandir son cercle de croyants. En échange de cette mission, cette divinité leur prête une partie de ses pouvoirs, qu’ils peuvent utiliser afin d’étendre la portée de leur divinité.",Le personnage doit avoir sélectionné un domaine divin lorsqu’il a acquis le talent <u>Spiritualité</u>.,782bbcce-7661-4e31-aced-eae9c212d0b0,"6a4e7150-fa82-4d0c-a308-70e68927a171,d5536e41-a6fd-43cb-8e73-aa87355ca72d,1f819e59-3ea2-426b-b668-5f45d821945d,ad47e040-e7ab-4797-9daa-aea8dec648bc,f3cf871b-6621-478e-b2af-de0d8faf9734,b591dbe1-8ab0-43a2-87d1-f70ee4c8c4ee,14a2449f-6438-4c69-af75-52a08ef7a4fc,37a0cbd8-b7c0-47aa-8449-5b5f121970d3,ec74126f-7e00-414f-b793-f8100adf0608",,Clergé,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir les pouvoirs de tiers 1 du domaine de sa divinité et apprend gratuitement un de ces pouvoirs.\n- Il acquiert une capacité de tiers 1 spécifique au domaine de sa divinité.\n- **Pouvoir divin.** Une fois par jour, le personnage peut invoquer un pouvoir divin spécifique au domaine de sa divinité. Il doit compléter une nuit de sommeil afin de réutiliser cette capacité."
3ab5eb18-7b6c-4d81-bf13-3219b4cc8420,1,Combattant,"Il est évident que la spécialisation du combattant soit le combat. Certains s’adonnent à cet art pour gagner leur vie, d’autres le font afin de servir une cause. Quelques-uns le font même par passion pour cet art. Certains combattants préfèrent devenir champions d’un style de de combat, alors que d’autres désirent plutôt en maîtriser plusieurs.",N/A,9d116bfb-77df-46bc-ba92-f85584f1e5f6,"610a8838-b9ea-4cfa-8be0-bbcfe705e386,9196aa8f-7447-43e9-b226-0ac32d9e451f,b28d0923-f367-4e2c-851b-ca8b7ab64d26,ad47e040-e7ab-4797-9daa-aea8dec648bc,14a2449f-6438-4c69-af75-52a08ef7a4fc,f47cae73-63e5-4d6f-a9f1-1502d0e99792,7b2b3158-7ddb-4d3b-9751-5b1527723bbb,ec74126f-7e00-414f-b793-f8100adf0608,81c0ab49-5786-4571-b620-103faa0598e6,c0c7935a-bdba-4a87-8033-9efecb7d7c94,430f0e24-b9bf-4834-8d4a-f27adab364e9",,Adrénaline,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir à rabais les talents <u>Cuirassé</u> et <u>Initiative accrue</u>.\n- **Indomptable.** Lorsqu’il échoue un jet de sauvegarde, il peut rejouer le jet par une action libre en dépensant 25 points d’Énergie et doit utiliser le nouveau résultat. Il peut utiliser cette capacité un nombre de fois égal à son tiers de personnage et doit compléter une nuit de sommeil afin de récupérer ces utilisations.\n- **Second souffle.** En situation de combat, permet au personnage de récupérer des points de Vitalité par une action libre. Il jette 1d10 auquel il additionne son modificateur de Vigueur. Il dépense un nombre de points d’Énergie égal à ce résultat et récupère un nombre de points de Vitalité égal à ce résultat. Il peut utiliser cette capacité un nombre de fois égal à son tiers de personnage et doit compléter une nuit de sommeil afin de récupérer ces utilisations."
91c46b73-b319-4bde-868c-bc0a26135114,1,Éclaireur,"À l’avant-garde de sa troupe, l’éclaireur sonde les défenses ennemies afin d’établir le meilleur plan et de profiter des brèches. Ses habiletés sont multiples et polyvalentes, ce qui lui permet de se débrouiller autant en milieu sauvage que dans une cité peuplée, dans des contextes sociaux et même dans une escarmouche dangereuse.",N/A,c0c7935a-bdba-4a87-8033-9efecb7d7c94,"610a8838-b9ea-4cfa-8be0-bbcfe705e386,b28d0923-f367-4e2c-851b-ca8b7ab64d26,6a4e7150-fa82-4d0c-a308-70e68927a171,21bf38b6-66be-4a76-a5b7-d14737b9a5ec,9d116bfb-77df-46bc-ba92-f85584f1e5f6,c63bbb84-cd77-4b49-87ea-063dd1f3f892,ad47e040-e7ab-4797-9daa-aea8dec648bc,13a72de3-fb18-4787-b11f-00d41ea9a1a1,b591dbe1-8ab0-43a2-87d1-f70ee4c8c4ee,14a2449f-6438-4c69-af75-52a08ef7a4fc,f47cae73-63e5-4d6f-a9f1-1502d0e99792,7b2b3158-7ddb-4d3b-9751-5b1527723bbb,80b75d8c-5bd8-48b1-a4c1-35f59ea44ef3,430f0e24-b9bf-4834-8d4a-f27adab364e9",,Avant-garde,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir à rabais les talents <u>Observateur</u> et <u>Survivalisme</u>.\n- **Cible privilégiée.** Lorsqu’il réussit une attaque contre une créature, il peut diriger toute son attention sur cette créature pendant la prochaine minute. Cet effet fonctionne comme la concentration des pouvoirs. Lorsqu’il utilise cette capacité, et une fois par tour lorsqu’il réussit une attaque contre cette créature, il peut ajouter 1d4 points de dégâts supplémentaires par tiers de personnage aux dégâts infligés par cette attaque. Il peut utiliser cette capacité un nombre de fois égal à son modificateur de Sensibilité (minimum 1) et doit compléter une nuit de sommeil afin de récupérer ces utilisations.\n- **Sens aiguisés.** Lorsqu’il n’est pas aveuglé, assourdi ou incapable, il se voit conférer l’avantage à ses jets de sauvegarde d’_Acrobaties_ s’il peut voir le déclencheur du jet de sauvegarde, par exemple un piège. Également, lorsqu’une créature qu’il peut voir et dont la taille est supérieure d’au moins une catégorie à la sienne échoue une attaque dirigée contre lui, il peut effectuer une attaque d’opportunité en réaction immédiatement."
7f41ae5a-5180-4daa-896d-0de02bb70d0d,1,Élémentariste,"Un Élémentariste s’est découvert la faculté de manipuler l’énergie d’un élément. Cette faculté est innée et généralement développée par l’expérience car les mentors sont rares. Le contrôle de toute cette énergie brute est généralement associé à une personnalité farouche et polyvalente. Cette faculté leur permet de combiner l’énergie élémentaire à leur force vitale, ce qui leur permet d’accroître grandement leur puissance au risque de causer des dommages irréparables à leur âme.",N/A,450cb5ba-874e-41f4-aeab-f916eb8da36f,"9196aa8f-7447-43e9-b226-0ac32d9e451f,6ce76341-f6b5-4ebe-af01-89d242c64b4e,1f819e59-3ea2-426b-b668-5f45d821945d,ad47e040-e7ab-4797-9daa-aea8dec648bc,13a72de3-fb18-4787-b11f-00d41ea9a1a1,14a2449f-6438-4c69-af75-52a08ef7a4fc,37a0cbd8-b7c0-47aa-8449-5b5f121970d3,f47cae73-63e5-4d6f-a9f1-1502d0e99792,ec74126f-7e00-414f-b793-f8100adf0608,81c0ab49-5786-4571-b620-103faa0598e6,630adc84-93c8-4c51-acc0-94ea6e0f3242",,Essence élémentaire,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir les pouvoirs de tiers 1 associés à son élément et apprend gratuitement un de ces pouvoirs. Il peut également acquérir les pouvoirs de tiers 1 issus d’une combinaison élémentaire comprenant son élément.\n- Il peut acquérir à rabais deux talents en fonction en fonction de son élément. S’il a acquis un de ces deux talents, alors le rabais est transféré à l’autre talent. S’il a acquis ces deux talents, alors les deux rabais s’appliquent à l’acquisition de son prochain pouvoir élémentaire.\n  - Air : <u>Tromperie</u> et <u>Tissu de mensonges</u>.\n  - Eau : <u>Intuition</u> et <u>Suspicion</u>.\n  - Feu : <u>Mêlée</u> et <u>Formation martiale</u>.\n  - Terre : <u>Résistance</u> et <u>Robustesse accrue</u>.\n  - Esprit : <u>Discipline</u> et <u>Endurance accrue</u>.\n- Il peut convertir des points d’Énergie en points d’essence élémentaire afin d’utiliser de puissantes capacités élémentaires de tiers 1. Cette conversion ainsi que les capacités pouvant être utilisées sont décrites en annexe à cet ouvrage."
7804c03e-2bdd-4968-b654-75cf2d746bb6,1,Ménestrel,"Le ménestrel est un saltimbanque, un danseur, un musicien, un conteur, un poète, un artiste ambulant. Il gagne sa vie par son art, qu’il utilise avec brio afin de faire vivre une palette d’émotions à son audience. Ils sont appréciés pour leurs multiples talents ainsi que leur art procurant des effets mystiques.",N/A,ec74126f-7e00-414f-b793-f8100adf0608,"610a8838-b9ea-4cfa-8be0-bbcfe705e386,22bb0ed8-3941-4576-9897-b519b7746f5c,6a4e7150-fa82-4d0c-a308-70e68927a171,d5536e41-a6fd-43cb-8e73-aa87355ca72d,c63bbb84-cd77-4b49-87ea-063dd1f3f892,ad47e040-e7ab-4797-9daa-aea8dec648bc,13a72de3-fb18-4787-b11f-00d41ea9a1a1,5c61038f-6fb1-4b2f-b224-7965d196d88e,f3cf871b-6621-478e-b2af-de0d8faf9734,b591dbe1-8ab0-43a2-87d1-f70ee4c8c4ee,7b2b3158-7ddb-4d3b-9751-5b1527723bbb,80b75d8c-5bd8-48b1-a4c1-35f59ea44ef3,ebf4f1d0-d46d-4663-9368-78af468f402f,630adc84-93c8-4c51-acc0-94ea6e0f3242",,Inspiration artistique,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir à rabais les talents <u>Distraction</u> et <u>Présence terrifiante</u>.\n- La prochaine fois qu’il acquiert le talent <u>Expertise</u>, alors il acquiert ce talent pour une seconde compétence de son choix. La seconde acquisition est gratuite.\n- **Berceuse apaisante.** Il peut jouer une douce berceuse pendant une halte ou au début d’une nuit de sommeil. Il dépense 15 points d’Énergie et sélectionne un nombre de créatures inférieur ou égal à son modificateur de Présence (minimum 1) qu’il peut voir, qui peuvent l’entendre et qui sont situées à 4,5 mètres ou moins de sa position. À la fin de la période de repos, le personnage ainsi que chacune de ces créatures récupère 1d8 points de Vitalité même si la période a été brièvement interrompue. Lorsqu’il atteint le tiers 2, le personnage peut dépenser 30 points d’Énergie afin d’augmenter à 2d8 les points de Vitalité récupérés. Lorsqu’il atteint le tiers 3, il peut dépenser 45 points d’Énergie afin d’augmenter à 3d8 les points de Vitalité récupérés. Le personnage doit compléter une nuit de sommeil afin de réutiliser cette capacité.\n- **Boléro héroïque.** Par une action, le personnage dépense 5 points d’Énergie afin de jouer un boléro inspirant la gloire à une créature qu’il peut voir, qui peut l’entendre et qui est située à 18 mètres ou moins de sa position. Celle-ci peut ajouter 1d8 à n’importe quel test de compétence pendant la prochaine heure avant de savoir si le test est réussi ou échoué. Une créature ne peut avoir qu’un seul dé à la fois, et le dé est perdu lorsque utilisé ou après une heure. Le personnage peut utiliser cette capacité un nombre de fois égal à son modificateur de Présence (minimum 1) et doit compléter une nuit de sommeil afin de récupérer ces utilisations."
d2871843-4d17-41e5-ae2d-2d87818cbb52,1,Roublard,"Le terme roublard désigne tout individu utilisant l’astuce et la ruse afin de parvenir à ses fins. Il englobe généralement les voleurs, les égorgeurs, les espions, les bandits et les escrocs. Ils n’utilisent pas toujours leurs aptitudes à des fins malfaisantes, mais ces aptitudes ont néanmoins toujours un aspect illégal ou immoral.",N/A,c91305b8-228b-4b78-b216-93606f4f8159,"610a8838-b9ea-4cfa-8be0-bbcfe705e386,9196aa8f-7447-43e9-b226-0ac32d9e451f,b28d0923-f367-4e2c-851b-ca8b7ab64d26,8d21a03d-0021-4d21-afc3-6cdc006eeea0,d5536e41-a6fd-43cb-8e73-aa87355ca72d,c63bbb84-cd77-4b49-87ea-063dd1f3f892,ad47e040-e7ab-4797-9daa-aea8dec648bc,13a72de3-fb18-4787-b11f-00d41ea9a1a1,b591dbe1-8ab0-43a2-87d1-f70ee4c8c4ee,f47cae73-63e5-4d6f-a9f1-1502d0e99792,7b2b3158-7ddb-4d3b-9751-5b1527723bbb,ec74126f-7e00-414f-b793-f8100adf0608,80b75d8c-5bd8-48b1-a4c1-35f59ea44ef3,630adc84-93c8-4c51-acc0-94ea6e0f3242",,Subterfuge,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir à rabais les talents <u>Attaque sournoise</u> et <u>Parade</u>.\n- La prochaine fois qu’il acquiert le talent <u>Expertise</u>, alors il acquiert ce talent pour une seconde compétence de son choix. La seconde acquisition est gratuite.\n- **Escarmouche.** Lorsqu’une créature ennemie termine son tour dans une case adjacente à celle du personnage, alors celui-ci peut utiliser sa réaction afin d’effectuer l’activité **Déplacement** à la moitié de sa vitesse, ou il effectue l’activité **Pas prudent**. Les attaques d’opportunité déclenchées par ce déplacement sont affligées du désavantage."
fb4708a6-0c7a-4dfb-888d-f1b3b448bef1,2,Archer,"L’archer se tient fièrement sur le champ de bataille, une silhouette gracieuse déployant l’arc avec une maîtrise inégalée. Vêtu d’un gambison ou d’une armure n’entravant pas ses mouvements, son regard perçant scrute l’horizon. Les doigts habiles manipulent la corde, libérant des flèches d’une précision redoutable. Son art transcende la simple compétence, l’archer incarne la symbiose entre la nature et la guerre, une force mortelle capable de façonner le destin à travers la danse gracieuse de ses flèches.",N/A,b3afc61d-6481-4687-85f4-67e0a5e532b5,"b5f0bf8c-3933-483c-a319-d7becaaf2cc6,0c2d6c23-e66d-43ff-ba6a-2745fd5b394b,24d0b9d2-4eda-43b5-890e-9315770511b7,dee5f069-7136-4681-9353-a1ee68e77200,feea35a9-6da3-43cc-b2f9-4dd2be95c916,8628bc7c-c2ed-49ce-904a-2e0276761a14,ca01face-00e8-41bf-8308-a1302c9da73f,d19141b1-c838-4726-b007-354a15803dd9,03c40ec8-a204-404a-8fab-dcded7055d9c,74a7a2b6-4805-497d-bb7a-b6cdfa302228,71489d9c-1560-4e1b-9624-53fe1bfcdec0,b04e701f-68f3-47d1-8358-e43bab3339cd,b190ffb5-83f8-4ecb-bccc-2974dfea43e8,551c5475-edaf-4f7b-b310-d1c8fa2a9968,8d037c1c-515f-4689-99b0-fb689f81cada",,Archerie,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir à rabais les talents <u>Chargement rapide</u>, <u>Focus</u> et <u>Tir précis</u>.\n- **Regard perçant.** Lorsqu’il effectue l’activité **Viser et tirer**, il peut le faire en utilisant deux actions plutôt qu’une afin d’effectuer l’activité **Chercher** en même temps, en action libre. Il se voit conférer l’avantage à son test de _Perception_ lorsqu’il utilise cette capacité.\n- **Tir à bout portant.** Il peut effectuer l’activité **Viser et tirer** lorsqu’il utilise sa réaction afin d’effectuer une attaque d’opportunité.\n- **Tir puissant.** Lorsqu’il effectue l’activité **Viser et tirer**, permet au personnage de cibler deux créatures par une même attaque en dépensant 10 points d’Énergie. Ces deux créatures doivent être situées dans une case adjacente, elles doivent se trouver dans la portée de l’arme du personnage, et une de ces créatures doit être placée derrière l’autre, de manière qu’elles se trouvent toutes deux dans la ligne de mire du personnage. Le même test d’attaque et le même jet de dégâts est utilisé pour les deux créatures."
404c17a5-c58a-43dc-af06-e26aed40dc74,2,Augure,"Niché au sommet d’un mont, drapé dans ses toges sacrées, l’augure observe les oiseaux volant au-dessus de lui, scrutant les signes et présages que les dieux lui envoient. C’est à partir d’interprétations telles celles-ci que l’augure guide la populace, les généraux et même les nobles. Sa magie fait appel aux esprits qui peuvent prédire le futur et prédire le destin. Il souhaite ne pas se tromper dans ses prédictions et montrer la bonne voie dans sa sphère d’influence.",Le personnage doit avoir acquis la spécialisation _Élémentariste_ pour l’élément Esprit. Il ne doit pas avoir acquis la spécialisation _Haruspice_.,8d037c1c-515f-4689-99b0-fb689f81cada,"a0f1cff9-f5f7-4e62-a339-811e716b5930,3502c221-d96c-4824-8981-8913e7fc7879,74a31d36-02f6-419c-b09f-f21b982179d9,c8b02ffe-e57b-41e6-b4a3-ac13d874f691,d19141b1-c838-4726-b007-354a15803dd9,d90a7854-802b-4051-bb30-3912becfd9ad,357f7bb9-6610-4746-bae5-2c18271a13a8,3dc1f37e-d38c-4af5-a0ee-4dda35da0b9d,ebe9fa7b-db1d-4d8e-bd35-c4d30a4e1c15,6650c2e8-a16e-4ca6-82ab-7bc367078b48,a6799aa2-2621-4290-9f84-125d54e9f9a0",pouvoirs de tiers 1 du cercle de Divination associés à l’élément Esprit,Présages,"Le personnage acquiert les capacités suivantes :\n\n- Il peut acquérir à rabais les talents <u>Discernement</u>, <u>Magie précise</u> et <u>Prédiction</u>.\n- Il peut acquérir les pouvoirs de tiers 2 du cercle de Divination associés à l’élément Esprit et apprend gratuitement un de ces pouvoirs.\n- Il peut désormais utiliser de puissantes capacités élémentaires de tiers 2. Ces capacités sont détaillées en annexe à cet ouvrage.\n- **Attaque élémentaire.** Lorsque le personnage utilise le talent <u>Attaque magique</u>, il peut remplacer les dégâts magiques par des dégâts radiants."
